iter	Passed	Remaining
726	43423	16306
727	43484	16246
728	43543	16187
729	43600	16126
730	43662	16067
731	43724	16008
732	43781	15947
733	43842	15888
734	43901	15828
735	43960	15768
736	44022	15709
737	44081	15649
738	44142	15590
739	44202	15530
740	44263	15471
741	44321	15411
742	44375	15349
743	44435	15289
744	44492	15229
745	44550	15168
746	44607	15108
747	44668	15048
748	44723	14987
749	44785	14928
750	44845	14868
751	44904	14808
752	44963	14748
753	45023	14689
754	45079	14628
755	45135	14567
756	45191	14506
757	45250	14446
758	45313	14388
759	45372	14328
760	45427	14267
761	45485	14206
762	45542	14146
763	45600	14085
764	45661	14026
765	45717	13965
766	45773	13904
767	45826	13843
768	45885	13783
769	45947	13724
770	46007	13664
771	46062	13603
772	46125	13545
773	46186	13485
774	46243	13425
775	46301	13365
776	46354	13303
777	46414	13244
778	46476	13185
779	46538	13126
780	46599	13066
781	46660	13007
782	46716	12946
783	46770	12885
784	46830	12826
785	46889	12766
786	46949	12706
787	47008	12647
788	47062	12585
789	47122	12526
790	47185	12467
791	47240	12406
792	47298	12346
793	47354	12285
794	47410	12225
795	47467	12164
796	47525	12104
797	47584	12045
798	47643	11985
799	47701	11925
800	47759	11865
801	47818	11805
802	47878	11746
803	47939	11686
804	47995	11626
805	48052	11565
806	48111	11506
807	48164	11445
808	48222	11384
809	48281	11325
810	48340	11265
811	48399	11205
812	48460	11146
813	48520	11087
814	48579	11027
815	48639	10967
816	48700	10908
817	48758	10848
818	48817	10788
819	48877	10729
820	48935	10669
821	48994	10609
822	49052	10549
823	49112	10489
824	49175	10431
825	49239	10372
826	49296	10312
827	49353	10252
828	49413	10192
829	49471	10132
830	49532	10073
831	49593	10014
832	49648	9953
833	49706	9893
834	49769	9834
835	49827	9774
836	49884	9714
837	49947	9655
838	50006	9596
839	50060	9535
840	50121	9476
841	50181	9416
842	50240	9356
843	50298	9296
844	50357	9237
845	50412	9176
846	50473	9117
847	50527	9056
848	50587	8997
849	50649	8938
850	50708	8878
851	50762	8817
852	50819	8757
853	50880	8698
854	50940	8638
855	51001	8579
856	51061	8520
857	51120	8460
858	51182	8401
859	51245	8342
860	51303	8282
861	51362	8222
862	51422	8163
863	51482	8103
864	51542	8044
865	51597	7983
866	51658	7924
867	51717	7864
868	51777	7805
869	51838	7745
870	51903	7687
871	51965	7627
872	52029	7568
873	52096	7510
874	52158	7451
875	52218	7391
876	52273	7331
877	52332	7271
878	52394	7212
879	52454	7152
880	52513	7093
881	52571	7033
882	52623	6972
883	52682	6913
884	52741	6853
885	52802	6794
886	52862	6734
887	52918	6674
888	52972	6614
889	53032	6554
890	53090	6494
891	53153	6435
892	53214	6376
893	53273	6316
894	53336	6257
895	53395	6197
896	53453	6137
897	53513	6078
898	53572	6018
899	53627	5958
900	53683	5898
901	53740	5838
902	53801	5779
903	53862	5719
904	53924	5660
905	53979	5600
906	54037	5540
907	54096	5481
908	54156	5421
909	54216	5362
910	54271	5302
911	54331	5242
912	54396	5183
913	54456	5123
914	54517	5064
915	54577	5004
916	54635	4945
917	54690	4885
918	54752	4825
919	54811	4766
920	54870	4706
921	54932	4647
922	54988	4587
923	55050	4527
924	55111	4468
925	55176	4409
926	55229	4349
927	55289	4289
928	55350	4230
929	55405	4170
930	55464	4110
931	55523	4051
932	55578	3991
933	55636	3931
934	55695	3871
935	55755	3812
936	55813	3752
937	55873	3693
938	55938	3633
939	56001	3574
940	56066	3515
941	56134	3456
942	56196	3396
943	56257	3337
944	56315	3277
945	56375	3218
946	56433	3158
947	56493	3098
948	56550	3039
949	56610	2979
950	56672	2920
951	56734	2860
952	56794	2800
953	56853	2741
954	56913	2681
955	56969	2622
956	57028	2562
957	57089	2502
958	57151	2443
959	57211	2383
960	57269	2324
961	57327	2264
962	57388	2204
963	57447	2145
964	57509	2085
965	57570	2026
966	57632	1966
967	57692	1907
968	57746	1847
969	57805	1787
970	57865	1728
971	57924	1668
972	57986	1609
973	58042	1549
974	58100	1489
975	58158	1430
976	58222	1370
977	58281	1311
978	58341	1251
979	58403	1191
980	58463	1132
981	58523	1072
982	58580	1013
983	58641	953
984	58700	893
985	58758	834
986	58819	774
987	58878	715
988	58937	655
989	58995	595
990	59054	536
991	59110	476
992	59171	417
993	59230	357
994	59295	297
995	59361	238
996	59421	178
997	59479	119
998	59539	59
999	59594	0
